Genus,Growth_Rate,R2,Recent_Mean,Recent_Median
aphelenchoides,10.287100695966057,0.7059859595922784,17.45,13.0
ditylenchus,9.310438313564905,0.8470468068201842,13.45,11.5
meloidogyne,7.623835484228447,0.9050873626692245,223.1,202.5
bursaphelenchus,5.8168430835286555,0.5955217510259574,62.0,55.5
pratylenchus,4.426622343250086,0.5109024003264571,48.2,41.5
heterodera,3.8062064345353974,0.5160154100128989,89.8,81.5
globodera,3.663719242215735,0.46762575979550014,41.85,41.0
helicotylenchus,2.0554354923986162,0.0918626792203785,10.55,10.5
xiphinema,0.19730443312431234,0.0008645508414376613,11.05,10.0
rotylenchulus,-0.15616409556500344,0.0005629642150141168,8.4,8.5
