Genus1,Genus2,Cooccurrences
Globodera,Heterodera,2
Helicotylenchus,Heterodera,2
Helicotylenchus,Pratylenchus,2
Nacobbus,Xiphinema,2
Heterodera,Pratylenchus,2
Ditylenchus,Pratylenchus,1
Globodera,Pratylenchus,1
Anguina,Ditylenchus,1
Meloidogyne,Tylenchulus,1
Pratylenchus,Radopholus,1
Heterodera,Meloidogyne,1
Heterodera,Tylenchulus,1
Anguina,Heterodera,1
Anguina,Tylenchulus,1
Globodera,Meloidogyne,1
Meloidogyne,Pratylenchus,1
Helicotylenchus,Tylenchorhynchus,1
Heterodera,Tylenchorhynchus,1
Pratylenchus,Xiphinema,1
Nacobbus,Pratylenchus,1
Hirschmanniella,Nacobbus,1
Hirschmanniella,Xiphinema,1
Longidorus,Xiphinema,1
Hirschmanniella,Pratylenchus,1
Pratylenchus,Tylenchulus,1
Mesocriconema,Tylenchulus,1
Mesocriconema,Pratylenchus,1
Rotylenchulus,Tylenchulus,1
Nacobbus,Radopholus,1
Ditylenchus,Nacobbus,1
Bursaphelenchus,Nacobbus,1
Nacobbus,Rotylenchulus,1
Aphelenchoides,Nacobbus,1
Ditylenchus,Radopholus,1
Radopholus,Xiphinema,1
Bursaphelenchus,Radopholus,1
Radopholus,Rotylenchulus,1
Aphelenchoides,Radopholus,1
Ditylenchus,Xiphinema,1
Bursaphelenchus,Ditylenchus,1
Ditylenchus,Rotylenchulus,1
Aphelenchoides,Ditylenchus,1
Bursaphelenchus,Xiphinema,1
Rotylenchulus,Xiphinema,1
Aphelenchoides,Xiphinema,1
Bursaphelenchus,Rotylenchulus,1
Aphelenchoides,Bursaphelenchus,1
Aphelenchoides,Rotylenchulus,1
