Journal,N_Papers,Total_Citations,Mean_Citations,Median_Citations,N_Genera,First_Year,Last_Year,Years_Publishing
Molecular Plant Pathology,78,71177,912.525641025641,1224.0,10,2010,2020,10
Nematology,590,24422,41.39322033898305,13.0,30,1999,2023,24
Journal of Nematology,557,15355,27.567324955116696,12.0,30,1969,2023,54
Annual Review of Phytopathology,35,10105,288.7142857142857,425.0,2,2001,2013,12
The Plant Journal,41,10085,245.97560975609755,275.0,4,1991,2009,18
Proceedings of the National Academy of Sciences of the United States of America,18,6022,334.55555555555554,376.0,3,1998,2012,14
PLOS Pathogens,17,4582,269.52941176470586,214.0,2,2008,2011,3
Australasian Plant Pathology,50,4099,81.98,62.0,7,1988,2011,23
New Phytologist,24,3601,150.04166666666666,109.0,3,2010,2016,6
PLOS ONE,63,3282,52.095238095238095,31.0,4,2010,2020,10
Soil Biology and Biochemistry,26,3256,125.23076923076923,136.0,6,1983,2013,30
Nature Biotechnology,6,2852,475.3333333333333,260.0,1,1998,2008,10
Plant Disease,36,2476,68.77777777777777,10.5,17,1997,2022,25
Biological Control,29,2458,84.75862068965517,63.0,6,2004,2021,17
European Journal of Plant Pathology,126,2330,18.49206349206349,10.0,13,1969,2022,53
Plant Physiology,12,2274,189.5,130.0,1,2010,2014,4
Journal of Agricultural and Food Chemistry,24,2160,90.0,75.0,3,2010,2020,10
Frontiers in Plant Science,57,2065,36.228070175438596,34.0,4,2019,2021,2
Pest Management Science,16,1876,117.25,156.0,5,1990,2020,30
Molecular Plant-Microbe Interactions,6,1800,300.0,300.0,2,2002,2002,0
Annals of Applied Biology,46,1605,34.891304347826086,36.5,11,1960,2005,45
Zoologica Scripta,35,1497,42.77142857142857,41.0,3,2008,2021,13
Field Crops Research,9,1431,159.0,34.0,4,1997,2006,9
The Transactions of the Zoological Society of London,15,1155,77.0,77.0,1,1968,1968,0
Zoological Journal of the Linnean Society,29,1148,39.58620689655172,37.0,4,2010,2016,6
Science,3,1146,382.0,382.0,1,1997,1997,0
Plant Pathology,27,1093,40.48148148148148,18.0,5,1970,2022,52
Phytochemistry Reviews,7,1046,149.42857142857142,163.0,2,2010,2012,2
Molecular Phylogenetics and Evolution,14,934,66.71428571428571,69.0,4,1997,2017,20
Theoretical and Applied Genetics,10,932,93.2,102.5,3,1981,2020,39
Scientia Horticulturae,14,922,65.85714285714286,47.0,1,2011,2020,9
Genome,9,884,98.22222222222223,142.0,2,1997,2011,14
Phytopathology,14,772,55.142857142857146,35.0,7,1998,2022,24
Frontiers in Microbiology,13,767,59.0,35.0,1,2014,2020,6
Scientific Reports,20,686,34.3,32.0,4,2016,2022,6
Genome Biology,5,660,132.0,132.0,1,2016,2016,0
Acta Societatis Botanicorum Poloniae,15,600,40.0,40.0,9,2018,2018,0
Systematic Parasitology,70,593,8.471428571428572,7.0,8,1980,2016,36
Molecular Plant,10,590,59.0,59.0,1,2020,2020,0
International Journal of Systematic and Evolutionary Microbiology,8,535,66.875,55.0,4,2000,2021,21
Microorganisms,8,528,66.0,66.0,1,2020,2020,0
Mycorrhiza,4,504,126.0,126.0,1,2008,2008,0
BMC Genomics,4,452,113.0,113.0,1,2013,2013,0
Crop Protection,19,407,21.42105263157895,21.0,7,2006,2021,15
Plant Health Progress,4,369,92.25,40.0,2,2017,2022,5
Experimental Parasitology,8,368,46.0,62.0,3,1974,2012,38
Zootaxa,25,365,14.6,21.0,13,2006,2022,16
Forest Pathology,14,362,25.857142857142858,26.0,2,2000,2020,20
Molecular and Biochemical Parasitology,5,360,72.0,72.0,1,2011,2011,0
Functional Plant Biology,3,357,119.0,119.0,1,1999,1999,0
