Keyword,TF_IDF_Score
species,2034.589591435297
nematodes,1724.9794270747566
soil,1668.9393181488817
root,1577.6122494281944
plant,1527.1403641033328
incognita,1465.343967956079
plants,1255.4069352750626
resistance,1160.9146520056524
control,1105.9792077521543
meloidogyne,1058.0671635505187
population,995.5513571804509
populations,975.0951868321546
roots,953.2019536766346
showed,865.9307678372011
study,861.7948871704283
growth,834.027704731297
activity,823.9686613887012
resistant,809.5141786651636
results,799.3042365291648
gene,767.075753710198
soybean,759.8556459300603
disease,759.5980864833286
host,757.5184100529995
using,757.1398484724963
genes,755.3205740547523
knot,754.4847009583596
root knot,750.5497852150448
cyst,750.3371752020771
different,749.5847280392856
potato,745.1663239305863
