Country1,Country2,Collaborations
Journal,Nematology,478
Nematology,Brill Academic Publishers,188
University,Nematology,165
Nematology,Description,103
Nematology,Meloidogyne,93
Journal,University,92
Spain,Institute,79
University,Spain,72
Molecular,Nematology,69
University,Description,68
Meloidogyne,Brill Academic Publishers,68
National Research Council,Italy,66
Spain,Nematology,64
University,Nematoda,63
University,Iran,60
Forest Products Research Institute,Nematoda,59
University,Tarbiat Modares University,59
Murdoch University,Nematoda,58
Murdoch University,Sardar Vallabhbhai Patel University,56
Forest Products Research Institute,Landbouw,56
Forest Products Research Institute,Murdoch University,56
Journal,Description,56
Nematoda,Sardar Vallabhbhai Patel University,56
Landbouw,Murdoch University,56
Landbouw,Sardar Vallabhbhai Patel University,56
Forest Products Research Institute,Sardar Vallabhbhai Patel University,56
Landbouw,Nematoda,56
University,Davis,54
Nematology,Root,52
Tylenchida,Nematoda,52
University,Meloidogyne,52
Tarbiat Modares University,Iran,48
University,National Research Council,47
Aphelenchoididae,Nematology,47
Wiley,Applied Biology,46
Molecular,University,46
Nematology,Iran,45
Moscow,Nematoda,45
Root,Meloidogyne,45
University,France,43
Europe,Brill Academic Publishers,42
Nematology,Europe,42
University,Tylenchida,42
Female,University,41
Nematology,Tarbiat Modares University,41
Europe,Meloidogyne,40
Springer Nature,Plant Pathology,40
Root,Brill Academic Publishers,40
Compendium,Publishing,40
Root,Europe,40
