Genus,PC1,PC2
2008,-2.0470944820236956,-1.7310924227684557
Anguina,-0.5513390176640515,-0.35326779076116754
Aphelenchoides,0.5569265045845823,0.54070969598325
Belonolaimus,-1.1065365290823288,0.003680997815848422
Bursaphelenchus,0.8024039786149155,1.1911179661752846
Criconema,-1.0257734423452676,-0.9433460011023633
Criconemoides,-1.05487511762351,-0.19815244321724357
Ditylenchus,-0.07701884321102512,0.8984480985132477
Dolichodorus,-1.1575038199016798,-0.6034314851568608
Globodera,-0.01895444185114925,0.3926182276599363
Helicotylenchus,-0.16900672240110734,0.09402944606994336
Hemicycliophora,-0.4588641780879578,0.049358097627108896
Heterodera,1.964607921592238,0.1690018647955449
Hirschmanniella,-0.7431165125144354,-0.10388998011871314
Hoplolaimus,-0.43945769410284713,0.10674747537257413
Litylenchus,-1.9206645070409953,-1.2457646494862462
Longidorus,1.5070291664847923,-0.5499288969392727
Meloidodera,-1.0976095339083585,-0.12668038677544663
Meloidogyne,6.26207077165768,-0.613167964337643
Mesocriconema,-0.7711071668947939,-0.8501661985530456
Nacobbus,-0.9012616833313337,2.529584742022239
Nanidorus,-1.9221167769433154,-1.309900486101463
Paratrichodorus,-1.2541498936577518,-0.741494905534313
Pratylenchus,2.8463297010530253,-0.3744864803555941
Radopholus,-0.2533159855589027,2.519587574295429
Rotylenchulus,-0.46495392365959975,2.957502085447565
Rotylenchus,0.9547373502121207,-0.5170571527468097
Scutellonema,-0.6287804195951611,-0.39365342681301896
Trichodorus,-0.2519261491740272,-0.1401622069252618
Tylenchorhynchus,0.023791488859506642,-0.0034126166406170154
Tylenchulus,-0.9161561979568226,0.13230257986440974
Xiphinema,4.313686155471255,-0.7856333573088449
