Year,New_Species,Cumulative_Species,MA_5yr
1960,7,7,
1961,1,8,
1962,2,10,3.4
1963,1,11,2.2
1964,6,17,2.4
1965,1,18,5.0
1966,2,20,7.6
1968,15,35,9.0
1969,14,49,10.0
1970,13,62,12.4
1971,6,68,10.4
1972,14,82,9.4
1973,5,87,8.8
1974,9,96,10.6
1975,10,106,10.4
1976,15,121,12.0
1977,13,134,13.0
1978,13,147,13.8
1979,14,161,14.2
1980,14,175,14.6
1981,17,192,15.4
1982,15,207,16.6
1983,17,224,16.8
1984,20,244,16.4
1985,15,259,15.0
1986,15,274,15.0
1987,8,282,14.6
1988,17,299,13.4
1989,18,317,13.0
1990,9,326,15.0
1991,13,339,18.4
1992,18,357,15.8
1993,34,391,16.8
1994,5,396,19.0
1995,14,410,23.6
1996,24,434,19.6
1997,41,475,24.2
1998,14,489,29.0
1999,28,517,32.2
2000,38,555,29.8
2001,40,595,31.0
2002,29,624,31.0
2003,20,644,28.6
2004,28,672,26.2
2005,26,698,25.2
2006,28,726,29.2
2007,24,750,29.2
2008,40,790,34.6
2009,28,818,39.4
2010,53,871,48.2
2011,52,923,51.8
2012,68,991,55.4
2013,58,1049,52.8
2014,46,1095,52.4
2015,40,1135,50.0
2016,50,1185,47.6
2017,56,1241,48.8
2018,46,1287,64.8
2019,52,1339,66.8
2020,120,1459,73.2
2021,60,1519,68.0
2022,88,1607,
2023,20,1627,
