Year,Category,Count
1990,Climate-Related,0.0
1991,Climate-Related,0.0
1992,Climate-Related,0.0
1993,Climate-Related,0.044444444444444446
1994,Climate-Related,0.0
1995,Climate-Related,0.15
1996,Climate-Related,0.08108108108108109
1997,Climate-Related,0.19047619047619047
1998,Climate-Related,0.03571428571428571
1999,Climate-Related,0.7567567567567568
2000,Climate-Related,0.029411764705882353
2001,Climate-Related,0.08860759493670886
2002,Climate-Related,0.03389830508474576
2003,Climate-Related,0.5
2004,Climate-Related,0.08888888888888889
2005,Climate-Related,0.1891891891891892
2006,Climate-Related,0.0
2007,Climate-Related,0.0
2008,Climate-Related,0.023529411764705882
2009,Climate-Related,0.0
2010,Climate-Related,0.0
2011,Climate-Related,0.0
2012,Climate-Related,0.02112676056338028
2013,Climate-Related,0.07602339181286549
2014,Climate-Related,0.009900990099009901
2015,Climate-Related,0.13253012048192772
2016,Climate-Related,0.019417475728155338
2017,Climate-Related,0.018018018018018018
2018,Climate-Related,0.031578947368421054
2019,Climate-Related,0.02247191011235955
2020,Climate-Related,0.12012987012987013
2021,Climate-Related,0.584
2022,Climate-Related,0.07547169811320754
2023,Climate-Related,0.041666666666666664
1990,Environmental/Sustainable,0.0
1991,Environmental/Sustainable,0.0
1992,Environmental/Sustainable,0.12
1993,Environmental/Sustainable,0.0
1994,Environmental/Sustainable,0.0
1995,Environmental/Sustainable,0.0
1996,Environmental/Sustainable,0.0
1997,Environmental/Sustainable,0.06349206349206349
1998,Environmental/Sustainable,0.32142857142857145
1999,Environmental/Sustainable,0.7567567567567568
2000,Environmental/Sustainable,0.029411764705882353
2001,Environmental/Sustainable,0.06329113924050633
2002,Environmental/Sustainable,0.06779661016949153
2003,Environmental/Sustainable,0.03333333333333333
2004,Environmental/Sustainable,0.15555555555555556
2005,Environmental/Sustainable,0.0
2006,Environmental/Sustainable,0.01639344262295082
2007,Environmental/Sustainable,0.6590909090909091
2008,Environmental/Sustainable,0.058823529411764705
2009,Environmental/Sustainable,0.02127659574468085
2010,Environmental/Sustainable,0.029411764705882353
2011,Environmental/Sustainable,0.031055900621118012
2012,Environmental/Sustainable,0.07746478873239436
2013,Environmental/Sustainable,0.04678362573099415
2014,Environmental/Sustainable,0.22772277227722773
2015,Environmental/Sustainable,0.13253012048192772
2016,Environmental/Sustainable,0.1553398058252427
2017,Environmental/Sustainable,0.09009009009009009
2018,Environmental/Sustainable,0.11578947368421053
2019,Environmental/Sustainable,0.12359550561797752
2020,Environmental/Sustainable,0.1590909090909091
2021,Environmental/Sustainable,0.072
2022,Environmental/Sustainable,0.04716981132075472
2023,Environmental/Sustainable,0.16666666666666666
